bloque,descripcion,anyo_ini,anyo_fin,valor_ini,valor_fin,unidad,fmt,dec,var_pct,var_abs,pp,fuente,nota,invertir_color
poblacion,Población residente en España,2018,2025,46645070.0,49128297.0,personas,num,0,5.323664430131636,2483227.0,False,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero",,False
poblacion,Población nacida en España,2018,2025,40459614.470431,39664087.0,personas,num,0,-1.9662260277156007,-795527.470431,False,"INE · tabla 9675 (2018) y tabla 70364, Censo anual (2025) · 1 de enero",Serie enlazada: 2018 procede de Cifras de Población y 2025 del Censo anual. En el solape (2021-2022) la diferencia entre ambas fuentes es de 40.000 a 103.000 personas.,False
poblacion,Población nacida en el extranjero,2018,2025,6198832.101939,9464210.0,personas,num,0,52.67730831166708,3265377.898061,False,"INE · tabla 9675 (2018) y tabla 70364, Censo anual (2025) · 1 de enero","País de nacimiento, que es la variable correcta para aproximar origen migratorio. Serie enlazada; ver nota anterior.",False
poblacion,Peso de los nacidos en el extranjero sobre el total,2018,2025,13.285551828915365,19.26427451779979,%,num,1,45.00168879603499,5.978722688884426,True,INE · tablas 9675 y 70364,,False
poblacion,Población con nacionalidad española,2018,2025,42067748.0,42216326.0,personas,num,0,0.3531874347065145,148578.0,False,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero","Nacionalidad jurídica, no origen: incluye a las personas nacidas fuera que se han nacionalizado.",False
poblacion,Población con nacionalidad extranjera,2018,2025,4577322.0,6911971.0,personas,num,0,51.0046922632928,2334649.0,False,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero","Nacionalidad jurídica, no origen.",False
poblacion,Adquisiciones de nacionalidad española (en el año),2018,2025,90774.0,299732.0,personas,num,0,230.1958710644017,208958.0,False,"INE, Adquisiciones de Nacionalidad Española de Residentes · tabla 15073",Acumulado 2018-2025: 1.434.003 personas. Explica por qué la cifra de 'extranjeros' crece menos que la de 'nacidos fuera'.,False
poblacion,Población de 65 y más años,2018,2025,8918454.0,10178625.0,personas,num,0,14.129926554535132,1260171.0,False,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero",,False
poblacion,Peso de los mayores de 65 años,2018,2025,19.11982123727116,20.718456819294996,%,num,1,8.36114293217105,1.5986355820238352,True,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero",,False
poblacion,Población de 15 a 64 años (edad potencialmente activa),2018,2025,30785600.0,32605609.0,personas,num,0,5.911884127644096,1820009.0,False,"INE, Cifras de Población / Censo anual · tabla 56942 · población a 1 de enero",,False
economia,PIB a precios de mercado (precios corrientes),2018,2024,1212276.0,1594330.0,millones €,num,0,31.51543047952776,382054.0,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · tabla 1",Euros corrientes: incluye el efecto de la inflación.,False
economia,"PIB real (índice de volumen encadenado, 2020 = 100)",2018,2024,110.124224773494,120.28924329752807,índice,num,2,9.23050177646354,10.165018524034068,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · tabla 4",Medida real oficial del crecimiento: descuenta los precios.,False
economia,PIB per cápita (precios corrientes),2018,2024,25950.0,32633.0,€,num,0,25.753371868978814,6683.0,False,"INE, Contabilidad Regional de España RE2024 · PIB per cápita, Total Nacional",,False
economia,"PIB real por habitante (índice derivado, 2018 = 100)",2018,2024,100.0,104.44159261697392,índice,num,1,4.441592616973922,4.441592616973921,False,Derivado: índice de volumen del PIB ÷ población media de la CNA,Cálculo propio a partir de dos series oficiales; no es una serie publicada por el INE.,False
economia,Renta nacional disponible neta per cápita (nominal),2018,2024,21854.671946912127,27278.03590068977,€,num,0,24.815581615462847,5423.3639537776435,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · Renta nacional disponible",,False
economia,Remuneración de los asalariados,2018,2024,553097.0,768983.0,millones €,num,0,39.032213156101015,215886.0,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · Renta nacional disponible",,False
economia,Puestos de trabajo totales,2018,2024,20571400.0,22582900.0,puestos,num,0,9.778138580748031,2011500.0,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · Empleo total por rama","Puestos de trabajo, no personas.",False
economia,Horas efectivamente trabajadas,2018,2024,33765616400.0,36159400200.0,horas,num,0,7.089412411852192,2393783800.0,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024 · Horas trabajadas por rama",,False
economia,"Productividad por hora trabajada (índice derivado, 2018 = 100)",2018,2024,100.0,101.9993473830793,índice,num,1,1.9993473830792974,1.9993473830792965,False,Derivado: índice de volumen del PIB ÷ horas trabajadas (CNA RE2024),,False
economia,Población media usada por la Contabilidad Nacional (1 de julio),2018,2024,46715000.0,48857000.0,personas,num,0,4.58525099004603,2142000.0,False,"INE, Contabilidad Nacional Anual, Revisión Estadística 2024",,False
laboral,Tasa de paro,2018,2025,15.255,10.5075,%,num,2,-31.12094395280236,-4.7475000000000005,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65349",,True
laboral,Tasa de empleo (ocupados sobre población de 16 y más años),2018,2025,49.7,52.7675,%,num,2,6.172032193158938,3.0674999999999955,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65349",,False
laboral,Tasa de actividad,2018,2025,58.65,58.96,%,num,2,0.5285592497868752,0.3100000000000023,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65349",,False
laboral,Tasa de paro · población de nacionalidad española,2018,2025,14.3225,9.5275,%,num,2,-33.478792110315936,-4.795,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65336","Nacionalidad, no país de nacimiento.",True
laboral,Tasa de paro · población de nacionalidad extranjera,2018,2025,21.9025,15.435,%,num,2,-29.528592626412507,-6.467499999999999,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65336","Nacionalidad, no país de nacimiento.",True
laboral,Tasa de actividad · población de nacionalidad extranjera,2018,2025,71.67,69.115,%,num,2,-3.564950467420125,-2.555000000000007,True,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65300","Nacionalidad, no país de nacimiento.",False
laboral,Puestos de trabajo vacantes (media trimestral),2018,2025,96998.25,152759.5,vacantes,num,0,57.486861876374064,55761.25,False,"INE, Encuesta Trimestral de Coste Laboral · tabla 6064",Vacantes declaradas por las empresas; no mide por sí sola la facilidad individual de encontrar empleo.,False
laboral,Población inactiva total,2018,2025,16079925.0,17282400.0,personas,num,0,7.478113237468453,1202475.0,False,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65343","La inactividad de la EPA incluye jubilados, estudiantes, labores del hogar e incapacidad. No mide dependencia de prestaciones ni rechazo a trabajar.",False
laboral,Inactivos: jubilados,2018,2025,6290150.0,7352900.0,personas,num,0,16.89546354220488,1062750.0,False,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65343",,False
laboral,Inactivos: estudiantes,2018,2025,2694475.0,3491400.0,personas,num,0,29.57626253722896,796925.0,False,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65343",,False
laboral,Inactivos: labores del hogar,2018,2025,3713700.0,3356650.0,personas,num,0,-9.614400732423189,-357050.0,False,"INE, Encuesta de Población Activa · media de los cuatro trimestres · tabla 65343",,False
precios,"IPC general (media anual, base 2021 = 100)",2018,2025,96.63783333333332,118.4155,índice,num,2,22.535342438348003,21.777666666666676,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses",,True
precios,Euros de 2025 necesarios para comprar lo que 1.000 € compraban en 2018,2018,2025,1000.0,1225.3534243834802,€,num,0,22.535342438348003,225.35342438348016,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses",,True
precios,"Lo que 1.000 € compran hoy, medido en euros de 2018",2018,2025,1000.0,816.0910804188077,€ de 2018,num,0,-18.390891958119237,-183.90891958119232,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses",,False
precios,Precios de alimentos y bebidas no alcohólicas (índice),2018,2025,94.94566666666668,132.2576666666667,índice,num,2,39.298265323676354,37.31200000000001,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
precios,"Precios de vivienda, agua, electricidad y gas (índice)",2018,2025,94.66466666666668,113.08858333333336,índice,num,2,19.462294978062932,18.423916666666685,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
precios,Precios del transporte (índice),2018,2025,95.77075,113.08333333333331,índice,num,2,18.077109486281874,17.312583333333308,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
precios,Precios de restaurantes y hoteles (índice),2018,2025,96.1465,124.30916666666668,índice,num,2,29.29141119714882,28.16266666666668,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
precios,Precios de sanidad (índice),2018,2025,98.15733333333333,107.24241666666668,índice,num,2,9.255633812382857,9.085083333333358,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
precios,Precios de vestido y calzado (índice),2018,2025,97.11541666666666,106.322,índice,num,2,9.480043075893384,9.206583333333342,False,"INE, Índice de Precios de Consumo · tabla 50902 · media anual de los 12 meses · grupos ECOICOP",,True
rentas,Salario bruto medio anual (nominal),2018,2024,24009.12,29540.26,€,num,0,23.03766235497178,5531.139999999999,False,"INE, Encuesta Anual de Estructura Salarial · tabla 28200 · ambos sexos, todos los contratos",,False
rentas,Salario bruto medio anual en euros constantes de 2018,2018,2024,24009.119999999995,24751.953350881617,€ de 2018,num,0,3.0939632559694896,742.8333508816213,False,Derivado: tabla 28200 deflactada con la media anual del IPC general (tabla 50902),,False
rentas,"Salario mensual del decil 1 (hombres), euros constantes de 2018",2018,2024,507.2,594.5779115615636,€ de 2018,num,0,17.22750622270577,87.37791156156362,False,Derivado: INE tabla 10910 (decil de salarios) deflactada con el IPC,La tabla descargada solo publica el desglose por sexo; no existe una serie 'ambos sexos'.,False
rentas,"Salario mensual del decil 10 (hombres), euros constantes de 2018",2018,2024,4889.3,4834.63231668414,€ de 2018,num,0,-1.1181085905111132,-54.667683315859904,False,Derivado: INE tabla 10910 deflactada con el IPC,,False
rentas,"Salario mensual del decil 1 (mujeres), euros constantes de 2018",2018,2024,470.7,595.2482361518247,€ de 2018,num,0,26.46021588099101,124.54823615182471,False,Derivado: INE tabla 10910 deflactada con el IPC,,False
rentas,"Salario mensual del decil 10 (mujeres), euros constantes de 2018",2018,2024,4637.7,4768.186391674512,€ de 2018,num,0,2.8136013902260393,130.48639167451256,False,Derivado: INE tabla 10910 deflactada con el IPC,,False
rentas,Renta neta media por persona (nominal),2018,2024,11680.0,15620.0,€,num,0,33.73287671232876,3940.0,False,"INE, Encuesta de Condiciones de Vida · tabla 9947 · encuestas 2019 y 2025",Etiquetada por AÑO DE RENTA: la ECV pregunta por los ingresos del año anterior a la entrevista.,False
rentas,Renta neta media por persona en euros constantes de 2018,2018,2024,11680.0,13088.08762484727,€ de 2018,num,0,12.055544733281431,1408.0876248472705,False,Derivado: INE tabla 9947 deflactada con el IPC del año de renta,,False
rentas,Renta media por unidad de consumo en euros constantes de 2018,2018,2024,17287.0,19224.071342949486,€ de 2018,num,0,11.20536439491806,1937.0713429494863,False,Derivado: INE tabla 9947 deflactada con el IPC del año de renta,La unidad de consumo corrige por tamaño y composición del hogar.,False
rentas,Tasa de riesgo de pobreza o exclusión social (AROPE),2018,2025,27.3,25.7,%,num,1,-5.860805860805862,-1.6000000000000014,True,"INE, ECV · tabla 74860 · definición Europa 2030, etiquetado por año de encuesta",,True
rentas,AROPE en hogares de un adulto con hijos dependientes,2018,2025,51.1,50.6,%,num,1,-0.9784735812133127,-0.5,True,"INE, ECV · tabla 74860",,True
vivienda,"Índice de precios de la vivienda (media anual, base 2015 = 100)",2018,2025,118.595,179.905,índice,num,1,51.6969518107846,61.31,False,"INE, Índice de Precios de Vivienda · tabla 25173","Es un índice de precios, no un precio en euros por metro cuadrado.",True
vivienda,Precio real de la vivienda descontada la inflación (2018 = 100),2018,2025,100.0,123.79852929950302,índice,num,1,23.798529299503013,23.798529299503016,False,Derivado: IPV (tabla 25173) deflactado con el IPC general (tabla 50902),,True
vivienda,Hipotecas constituidas sobre viviendas (año completo),2018,2025,348326.0,500883.0,hipotecas,num,0,43.79718998868876,152557.0,False,"INE, Estadística de Hipotecas · tabla 76317 · suma de los 12 meses",,False
vivienda,Importe medio de la hipoteca sobre vivienda (nominal),2018,2025,124265.43525318235,163940.2614981942,€,num,0,31.927483426245672,39674.826245011835,False,INE · tabla 76317,,False
vivienda,Importe medio de la hipoteca en euros constantes de 2018,2018,2025,124265.43525318235,133790.18513020314,€ de 2018,num,0,7.66484248625916,9524.74987702079,False,Derivado: tabla 76317 deflactada con el IPC,,False
vivienda,Plazo medio de las nuevas hipotecas sobre vivienda,2018,2025,23.916666666666668,25.083333333333332,años,num,1,4.878048780487787,1.1666666666666643,False,"INE, Estadística de Hipotecas · tabla 24458 · media de los 12 meses",,False
crimen,"Infracciones penales conocidas (hechos, no personas)",2018,2024,2131118.0,2454206.0,hechos,num,0,15.160493224683002,323088.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
crimen,Infracciones penales conocidas por 100.000 habitantes,2018,2024,4568.795802000082,5047.760994798507,por 100.000 hab.,num,0,10.48340117517943,478.96519279842505,False,Derivado: tabla 01001 ÷ población a 1 de enero (INE tabla 56942),,True
crimen,Infracciones penales conocidas excluidas las estafas informáticas,2018,2024,1994462.0,2041356.0,hechos,num,0,2.351210501879697,46894.0,False,Derivado: tabla 01001 (total menos epígrafe 5.5.1),,True
crimen,"Infracciones penales conocidas excluidas las estafas informáticas, por 100.000 hab.",2018,2024,4275.8259340161785,4198.619510056573,por 100.000 hab.,num,0,-1.8056493681230745,-77.20642395960567,False,Derivado: tabla 01001 ÷ población (INE tabla 56942),,True
crimen,Estafas informáticas (ciberestafa),2018,2024,136656.0,412850.0,hechos,num,0,202.10894508839715,276194.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
crimen,Hurtos,2018,2024,706072.0,648963.0,hechos,num,0,-8.088268618497828,-57109.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
crimen,Robos con fuerza en viviendas,2018,2024,107166.0,81094.0,hechos,num,0,-24.328611686542377,-26072.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
crimen,Robos con violencia o intimidación,2018,2024,60295.0,62976.0,hechos,num,0,4.446471515050998,2681.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
crimen,Homicidios dolosos y asesinatos consumados,2018,2024,289.0,349.0,hechos,num,0,20.761245674740493,60.0,False,"Ministerio del Interior, Portal Estadístico de Criminalidad · años naturales completos · tabla 01001",,True
