filename,tema,organismo,tabla_id,url_fuente,cobertura,frecuencia,geografia,perfiles,notas_comparabilidad
ipc_nacional_mensual_grupos.json,IPC y coste de vida,INE,50902,https://www.ine.es/jaxiT3/Tabla.htm?t=50902,2018-2025,mensual,nacional,grupos ECOICOP,"Indice y tasas; comparar periodos homogeneos y distinguir indice de tasa"
ipc_tasa_variacion_general_ccaa_mensual.json,IPC territorial,INE,50917,https://www.ine.es/jaxiT3/Tabla.htm?t=50917,2018-2025,mensual,CCAA,tipo de variacion,"Serie Base 2021; tabla historica tras cambio de base en 2026 pero cubre integramente el periodo objetivo"
epa_tasas_actividad_paro_empleo_provincia_sexo_trimestral.json,Empleo paro actividad,INE EPA,65349,https://www.ine.es/jaxiT3/Tabla.htm?t=65349,2018-2025,trimestral,provincia,sexo y tipo de tasa,"Desde 2021 base poblacional 2021; INE advierte cambio respecto base 2011 anterior"
epa_inactivos_clase_sexo_ccaa_trimestral.json,Inactividad,INE EPA,65343,https://www.ine.es/jaxiT3/Tabla.htm?t=65343,2018-2025,trimestral,CCAA,sexo y clase principal,"Inactividad es concepto estadistico EPA; no implica dependencia de prestaciones"
epa_tasa_actividad_nacionalidad_sexo_ccaa_trimestral.json,Actividad y nacionalidad,INE EPA,65300,https://www.ine.es/jaxiT3/Tabla.htm?t=65300,2018-2025,trimestral,CCAA,sexo y nacionalidad,"Nacionalidad no equivale a pais de nacimiento ni condicion migratoria"
epa_tasa_empleo_nacionalidad_sexo_ccaa_trimestral.json,Empleo y nacionalidad,INE EPA,65310,https://www.ine.es/jaxiT3/Tabla.htm?t=65310,2018-2025,trimestral,CCAA,sexo y nacionalidad,"Nacionalidad no equivale a pais de nacimiento ni condicion migratoria"
epa_tasa_paro_nacionalidad_sexo_ccaa_trimestral.json,Paro y nacionalidad,INE EPA,65336,https://www.ine.es/jaxiT3/Tabla.htm?t=65336,2018-2025,trimestral,CCAA,sexo y nacionalidad,"Nacionalidad no equivale a pais de nacimiento ni condicion migratoria"
epa_tasa_actividad_nacionalidad_sexo_edad_trimestral.json,Actividad y nacionalidad,INE EPA,65087,https://www.ine.es/jaxiT3/Tabla.htm?t=65087,2018-2025,trimestral,nacional,sexo edad nacionalidad,"Nacionalidad secundaria; no sustituir por pais de nacimiento"
vacantes_ccaa_trimestral.json,Vacantes,INE ETCL,6064,https://www.ine.es/jaxiT3/Tabla.htm?t=6064,2018-2025,trimestral,CCAA,ninguno,"Vacantes empresariales; no mide por si sola facilidad individual de encontrar empleo"
ganancia_media_anual_sexo_tipo_contrato.json,Salarios,INE EAES,28200,https://www.ine.es/jaxiT3/Tabla.htm?t=28200,2018-2024,anual,nacional y CCAA,sexo tipo de contrato,"Ganancia bruta nominal; deflactar con IPC para poder adquisitivo"
salario_medio_por_decil.json,Distribucion salarial,INE,10910,https://www.ine.es/jaxiT3/Tabla.htm?t=10910,2018-2024,anual,nacional,decil,"Euros nominales; permite media y mediana aproximada; deflactar para comparacion real"
renta_neta_media_persona_unidad_consumo_ccaa.json,Renta,INE ECV,9947,https://www.ine.es/jaxiT3/Tabla.htm?t=9947,2018-2025,anual,CCAA,persona y unidad de consumo,"Renta del ano anterior a entrevista: desplazar referencia al comparar con indicadores contemporaneos"
arope_europa2030_tipo_hogar.json,Pobreza AROPE,INE ECV,74860,https://www.ine.es/jaxiT3/Tabla.htm?t=74860,2018-2025,anual,nacional,tipo de hogar,"Definicion Europa 2030; no mezclar con antigua definicion Europa 2020"
epf_gasto_medio_hogar_persona_detalle_coicop.json,Gasto y coste de vida,INE EPF,25198,https://www.ine.es/jaxiT3/Tabla.htm?t=25198,2018-2023,anual,nacional,detalle ECOICOP,"Valores corrientes; cambios EPF 2024 requieren serie homogenea nueva antes de anexar 2024-25"
ipv_media_anual_ccaa_tipo_vivienda_base2015.json,Precio vivienda,INE IPV,25173,https://www.ine.es/jaxiT3/Tabla.htm?t=25173,2018-2025,anual,CCAA,vivienda nueva y usada,"Indice Base 2015; tabla historica tras cambio a Base 2025; periodo objetivo completo"
hipotecas_total_fincas_nacional_provincias.json,Hipotecas,INE,76317,https://www.ine.es/jaxiT3/Tabla.htm?t=76317,2018-2025,mensual,nacional y provincias,naturaleza finca numero e importe,"Miles de euros e hipotecas; distinguir numero de importe"
hipotecas_plazo_medio.json,Hipotecas,INE,24458,https://www.ine.es/jaxiT3/Tabla.htm?t=24458,2018-2025,mensual,nacional,tipo de medida,"Plazo medio de nuevas hipotecas; no representa toda la deuda hipotecaria viva"
